transaction_id,day_of_week,time_of_day,item_type,quantity,amount,student_discount
60,Tuesday,Morning,Tea,2,5.46,False
61,Wednesday,Morning,Coffee,1,4.31,False
62,Tuesday,Morning,Coffee,1,4.55,False
63,Friday,Afternoon,Sandwich,1,9.23,True
64,Tuesday,Morning,Pastry,1,5.03,True
65,Tuesday,Morning,Pastry,2,8.6,True
66,Thursday,Afternoon,Tea,1,3.46,True
67,Monday,Afternoon,Coffee,1,4.88,True
68,Friday,Afternoon,Sandwich,1,9.15,True
69,Monday,Morning,Coffee,1,3.82,False
70,Sunday,Afternoon,Pastry,4,13.52,False
71,Friday,Evening,Tea,1,3.78,True
72,Tuesday,Afternoon,Coffee,1,3.65,True
73,Monday,Afternoon,Tea,1,3.56,True
74,Friday,Morning,Tea,2,6.74,True
75,Thursday,Evening,Sandwich,1,8.97,False
76,Friday,Morning,Coffee,1,3.94,True
77,Friday,Morning,Coffee,1,3.98,False
78,Monday,Morning,Coffee,1,4.59,True
79,Tuesday,Morning,Pastry,1,5.41,True
80,Monday,Evening,Tea,1,3.76,True
81,Friday,Afternoon,Sandwich,2,22.06,True
82,Thursday,Afternoon,Pastry,3,15.03,True
83,Tuesday,Afternoon,Coffee,2,8.5,True
84,Monday,Morning,Pastry,1,5.37,True
85,Tuesday,Morning,Coffee,1,3.35,True
86,Tuesday,Afternoon,Pastry,1,4.09,False
87,Friday,Afternoon,Coffee,2,7.18,True
88,Thursday,Morning,Coffee,1,3.85,True
89,Saturday,Afternoon,Pastry,3,14.73,True
90,Wednesday,Morning,Coffee,1,3.44,True
91,Monday,Morning,Pastry,2,9.6,True
92,Thursday,Morning,Pastry,1,4.15,True
93,Friday,Morning,Pastry,1,4.29,False
94,Thursday,Afternoon,Tea,1,3.58,False
95,Friday,Afternoon,Sandwich,3,34.56,True
96,Wednesday,Morning,Coffee,3,10.92,True
97,Wednesday,Afternoon,Tea,2,6.94,True
98,Wednesday,Afternoon,Pastry,1,3.85,True
99,Monday,Morning,Pastry,2,8.14,False
100,Monday,Morning,Coffee,1,3.46,True
101,Monday,Evening,Sandwich,1,9.79,True
102,Thursday,Afternoon,Coffee,1,4.21,True
103,Tuesday,Evening,Tea,1,3.77,False
104,Wednesday,Morning,Coffee,1,3.62,True
105,Saturday,Afternoon,Sandwich,2,20.22,False
106,Tuesday,Morning,Coffee,1,4.06,True
107,Wednesday,Morning,Pastry,1,4.47,False
108,Friday,Morning,Pastry,1,3.76,True
109,Tuesday,Morning,Tea,1,3.56,False
110,Monday,Morning,Coffee,1,4.09,False
111,Tuesday,Morning,Pastry,1,4.56,True
112,Monday,Morning,Pastry,1,4.74,True
113,Saturday,Afternoon,Tea,1,3.78,True
114,Friday,Morning,Pastry,1,3.84,True
115,Thursday,Morning,Coffee,1,3.89,True
116,Saturday,Morning,Coffee,1,4.26,False
117,Friday,Morning,Coffee,1,3.87,False
118,Tuesday,Afternoon,Tea,1,3.88,True
119,Saturday,Morning,Coffee,1,4.05,True
120,Wednesday,Afternoon,Tea,1,2.72,True
121,Friday,Morning,Tea,1,3.84,True
122,Saturday,Morning,Sandwich,1,9.36,True
123,Tuesday,Afternoon,Sandwich,2,14.76,False
124,Monday,Afternoon,Pastry,1,4.35,False
125,Tuesday,Morning,Tea,2,5.98,False
126,Wednesday,Afternoon,Coffee,2,8.76,True
127,Friday,Morning,Tea,2,6.98,True
128,Friday,Afternoon,Coffee,1,3.54,True
129,Monday,Afternoon,Coffee,2,8.82,True
130,Wednesday,Afternoon,Sandwich,1,10.05,True
131,Wednesday,Evening,Tea,1,3.41,True
132,Tuesday,Morning,Coffee,1,3.38,True
133,Monday,Afternoon,Sandwich,3,25.47,True
134,Tuesday,Morning,Coffee,1,3.57,True
135,Sunday,Morning,Coffee,3,13.11,True
136,Tuesday,Morning,Coffee,1,3.16,True
137,Wednesday,Morning,Coffee,3,11.94,False
138,Thursday,Afternoon,Coffee,3,11.61,True
139,Wednesday,Afternoon,Sandwich,3,32.22,True
140,Sunday,Afternoon,Coffee,1,4.12,False
141,Sunday,Morning,Pastry,2,9.64,True
142,Tuesday,Morning,Coffee,3,11.22,False
143,Wednesday,Evening,Tea,1,3.01,True
144,Tuesday,Morning,Tea,1,3.37,True
145,Tuesday,Afternoon,Sandwich,2,20.86,True
146,Monday,Afternoon,Sandwich,1,10.43,True
147,Thursday,Afternoon,Sandwich,2,17.96,False
148,Wednesday,Morning,Coffee,1,3.57,True
149,Monday,Afternoon,Tea,1,3.08,False
150,Tuesday,Morning,Pastry,1,4.42,True
151,Saturday,Afternoon,Coffee,1,4.07,False
152,Tuesday,Morning,Coffee,1,4.74,True
153,Monday,Morning,Coffee,2,8.12,True
154,Wednesday,Morning,Tea,1,3.75,True
155,Sunday,Afternoon,Coffee,2,7.22,True
156,Tuesday,Morning,Coffee,2,8.04,True
157,Thursday,Morning,Coffee,1,4.07,False
158,Friday,Morning,Tea,1,3.44,True
159,Tuesday,Evening,Tea,1,3.49,True
160,Friday,Afternoon,Coffee,1,4.06,True
161,Wednesday,Afternoon,Sandwich,1,10.08,True
162,Thursday,Afternoon,Sandwich,1,10.9,True
163,Thursday,Morning,Tea,3,7.77,True
164,Wednesday,Morning,Pastry,1,5.17,True
165,Monday,Evening,Tea,1,2.82,True
166,Friday,Morning,Coffee,4,16.6,True
167,Tuesday,Morning,Coffee,2,10.36,False
168,Tuesday,Morning,Pastry,2,8.94,True
169,Monday,Morning,Coffee,2,8.18,True
170,Thursday,Morning,Pastry,1,4.31,False
171,Thursday,Morning,Sandwich,2,20.6,True
172,Monday,Morning,Coffee,3,12.54,True
173,Wednesday,Morning,Coffee,1,3.66,True
174,Tuesday,Morning,Coffee,1,3.94,False
175,Thursday,Morning,Coffee,1,3.44,True
176,Monday,Morning,Coffee,1,3.94,True
177,Thursday,Afternoon,Sandwich,1,9.0,True
178,Wednesday,Morning,Coffee,1,4.07,True
179,Saturday,Afternoon,Coffee,1,3.65,False
180,Monday,Afternoon,Coffee,1,3.89,True
181,Tuesday,Afternoon,Sandwich,1,9.51,True
182,Monday,Morning,Tea,2,7.06,True
183,Saturday,Morning,Pastry,1,4.66,False
184,Saturday,Morning,Sandwich,1,9.29,False
185,Tuesday,Afternoon,Tea,1,3.19,True
186,Thursday,Morning,Coffee,1,4.04,False
187,Friday,Afternoon,Coffee,1,3.91,True
188,Thursday,Afternoon,Coffee,1,4.51,False
189,Wednesday,Morning,Pastry,2,10.38,True
190,Tuesday,Morning,Coffee,1,3.31,False
191,Monday,Afternoon,Coffee,1,4.31,True
192,Saturday,Morning,Tea,1,3.83,False
193,Saturday,Morning,Tea,1,2.96,False
194,Thursday,Afternoon,Sandwich,2,20.4,False
195,Tuesday,Morning,Coffee,1,4.45,False
196,Tuesday,Evening,Sandwich,2,16.72,True
197,Friday,Afternoon,Pastry,1,4.36,True
198,Saturday,Afternoon,Coffee,2,8.18,True
199,Saturday,Morning,Pastry,2,9.68,True
200,Friday,Morning,Sandwich,2,16.62,True
201,Thursday,Morning,Coffee,3,13.74,True
202,Monday,Morning,Coffee,1,2.99,True
203,Monday,Morning,Coffee,3,13.98,True
204,Saturday,Morning,Coffee,1,4.28,False
205,Thursday,Morning,Pastry,2,8.26,False
206,Monday,Morning,Coffee,1,4.43,True
207,Monday,Afternoon,Sandwich,1,8.24,False
208,Thursday,Morning,Tea,2,7.1,False
209,Monday,Morning,Coffee,1,4.12,True
210,Monday,Afternoon,Coffee,1,4.12,True
211,Thursday,Evening,Tea,2,6.32,True
212,Thursday,Morning,Coffee,1,3.75,True
213,Thursday,Morning,Coffee,1,4.06,True
214,Tuesday,Afternoon,Coffee,1,3.64,True
215,Thursday,Evening,Sandwich,1,9.83,True
216,Tuesday,Afternoon,Tea,1,3.25,True
217,Tuesday,Afternoon,Sandwich,1,10.7,True
218,Friday,Morning,Coffee,1,4.78,False
219,Thursday,Morning,Pastry,1,4.32,True
220,Friday,Morning,Sandwich,1,10.6,False
221,Thursday,Afternoon,Coffee,2,7.78,True
222,Thursday,Afternoon,Sandwich,1,8.38,True
223,Monday,Evening,Pastry,2,8.48,False
224,Wednesday,Morning,Pastry,1,4.55,True
225,Tuesday,Morning,Tea,1,2.79,True
226,Tuesday,Morning,Coffee,1,4.31,False
227,Sunday,Afternoon,Coffee,2,8.08,True
228,Wednesday,Afternoon,Coffee,2,9.0,True
229,Saturday,Morning,Coffee,2,8.6,True
230,Thursday,Morning,Merchandise,1,36.33,False
231,Friday,Morning,Pastry,2,8.58,True
232,Wednesday,Morning,Coffee,1,4.76,True
233,Thursday,Afternoon,Sandwich,2,24.2,False
234,Wednesday,Morning,Pastry,1,4.3,True
235,Tuesday,Afternoon,Coffee,1,4.52,False
236,Friday,Afternoon,Coffee,1,3.65,True
237,Tuesday,Afternoon,Coffee,1,3.71,True
238,Monday,Morning,Pastry,1,4.27,True
239,Thursday,Afternoon,Sandwich,1,10.32,True
240,Monday,Morning,Coffee,1,3.46,True
241,Sunday,Morning,Coffee,3,14.31,True
242,Sunday,Morning,Pastry,1,5.06,True
243,Saturday,Morning,Pastry,2,9.8,True
244,Wednesday,Morning,Pastry,3,12.96,False
245,Monday,Morning,Tea,3,11.49,True
246,Saturday,Evening,Tea,2,4.66,True
247,Wednesday,Morning,Coffee,2,8.44,True
248,Sunday,Afternoon,Coffee,1,4.08,False
249,Sunday,Evening,Sandwich,1,7.24,False
250,Friday,Morning,Coffee,1,4.2,False
251,Tuesday,Afternoon,Sandwich,1,10.21,False
252,Wednesday,Morning,Coffee,1,3.07,False
253,Friday,Morning,Pastry,1,3.79,False
254,Tuesday,Morning,Coffee,1,5.03,True
255,Monday,Evening,Tea,2,6.86,False
256,Thursday,Morning,Tea,1,3.89,True
257,Saturday,Afternoon,Coffee,1,4.56,True
258,Thursday,Morning,Pastry,1,4.74,True
259,Thursday,Afternoon,Pastry,1,5.11,True
260,Monday,Morning,Coffee,3,8.82,True
261,Thursday,Afternoon,Sandwich,1,9.22,True
262,Sunday,Afternoon,Sandwich,1,5.8,True
263,Monday,Afternoon,Pastry,1,3.45,True
264,Wednesday,Evening,Sandwich,1,8.84,False
265,Saturday,Afternoon,Coffee,1,3.67,True
266,Friday,Morning,Coffee,1,4.02,True
267,Thursday,Morning,Coffee,1,3.99,True
268,Thursday,Morning,Coffee,1,4.07,False
269,Tuesday,Morning,Coffee,2,8.18,False
270,Tuesday,Morning,Coffee,1,4.17,False
271,Friday,Morning,Coffee,1,3.52,True
272,Friday,Morning,Pastry,1,4.07,True
273,Friday,Evening,Pastry,1,4.48,False
274,Saturday,Morning,Merchandise,3,104.61,True
275,Wednesday,Evening,Sandwich,1,8.2,True
276,Wednesday,Morning,Coffee,4,18.16,True
277,Friday,Afternoon,Coffee,1,4.36,False
278,Thursday,Afternoon,Coffee,2,7.14,True
279,Thursday,Morning,Pastry,1,4.37,False
280,Friday,Morning,Coffee,1,5.0,True
281,Saturday,Morning,Coffee,1,4.08,False
282,Tuesday,Morning,Pastry,1,4.74,True
283,Wednesday,Evening,Pastry,1,4.13,True
284,Monday,Afternoon,Coffee,1,3.84,True
285,Thursday,Morning,Coffee,2,9.52,True
286,Monday,Morning,Pastry,1,4.57,False
287,Wednesday,Morning,Pastry,1,4.46,False
288,Thursday,Morning,Coffee,2,8.0,True
289,Tuesday,Afternoon,Tea,1,4.52,True
290,Thursday,Morning,Pastry,2,9.04,True
291,Monday,Morning,Pastry,1,4.0,False
292,Monday,Morning,Pastry,1,4.11,False
293,Friday,Morning,Coffee,1,4.39,True
294,Wednesday,Afternoon,Sandwich,3,23.37,False
295,Monday,Morning,Coffee,2,8.46,True
296,Wednesday,Evening,Coffee,4,14.56,True
297,Friday,Afternoon,Sandwich,1,7.27,True
298,Tuesday,Morning,Coffee,2,7.02,False
299,Thursday,Morning,Pastry,1,4.52,True
300,Monday,Afternoon,Coffee,1,4.7,True
301,Monday,Evening,Sandwich,2,21.2,True
302,Wednesday,Afternoon,Coffee,1,3.85,True
303,Thursday,Morning,Tea,1,3.89,False
304,Thursday,Evening,Coffee,1,3.82,True
305,Friday,Morning,Tea,2,5.82,True
306,Sunday,Afternoon,Sandwich,1,9.53,False
307,Wednesday,Evening,Tea,1,2.9,True
308,Tuesday,Morning,Coffee,5,22.0,False
309,Friday,Evening,Pastry,1,4.98,False
310,Tuesday,Morning,Pastry,1,3.97,True
311,Wednesday,Evening,Tea,1,3.56,True
312,Monday,Morning,Coffee,2,8.14,True
313,Monday,Evening,Tea,1,3.85,True
314,Sunday,Morning,Pastry,1,3.75,False
315,Friday,Afternoon,Tea,1,3.74,False
316,Thursday,Morning,Coffee,1,3.34,False
317,Wednesday,Morning,Pastry,1,4.97,False
318,Monday,Morning,Tea,1,3.93,True
319,Monday,Afternoon,Coffee,1,3.67,False
320,Tuesday,Morning,Sandwich,3,32.88,False
321,Thursday,Afternoon,Sandwich,2,15.22,False
322,Thursday,Morning,Coffee,3,13.65,True
323,Thursday,Evening,Tea,1,4.08,True
324,Tuesday,Morning,Pastry,1,4.71,True
325,Sunday,Morning,Coffee,1,3.9,False
326,Friday,Morning,Coffee,3,12.48,True
327,Thursday,Morning,Coffee,1,3.7,True
328,Thursday,Morning,Pastry,4,24.28,True
329,Wednesday,Morning,Coffee,1,3.71,True
330,Tuesday,Afternoon,Sandwich,1,11.08,True
331,Tuesday,Afternoon,Coffee,1,3.63,False
332,Friday,Afternoon,Sandwich,1,11.42,False
333,Monday,Morning,Pastry,1,5.71,True
334,Monday,Afternoon,Tea,1,3.65,True
335,Monday,Morning,Pastry,1,4.67,True
336,Monday,Afternoon,Coffee,1,3.52,False
337,Friday,Morning,Pastry,1,3.85,False
338,Thursday,Morning,Coffee,2,8.3,False
339,Wednesday,Morning,Coffee,1,4.73,True
340,Monday,Afternoon,Sandwich,1,8.84,True
341,Wednesday,Morning,Sandwich,1,12.15,True
342,Wednesday,Afternoon,Coffee,2,7.38,False
343,Monday,Morning,Coffee,1,4.11,True
344,Wednesday,Afternoon,Coffee,3,12.36,True
345,Wednesday,Evening,Sandwich,1,9.38,False
346,Thursday,Morning,Coffee,1,2.98,False
347,Thursday,Morning,Coffee,1,3.69,True
348,Monday,Evening,Coffee,1,4.1,False
349,Wednesday,Morning,Pastry,1,4.44,True
350,Thursday,Morning,Coffee,1,4.32,True
351,Wednesday,Afternoon,Coffee,1,4.38,True
352,Friday,Afternoon,Tea,1,3.4,False
353,Thursday,Morning,Coffee,2,7.04,False
354,Monday,Afternoon,Sandwich,1,11.36,True
355,Monday,Morning,Pastry,1,3.69,True
356,Thursday,Morning,Pastry,5,20.7,False
357,Monday,Afternoon,Tea,1,3.16,True
358,Thursday,Morning,Pastry,1,4.95,False
359,Sunday,Morning,Coffee,2,9.32,False
360,Thursday,Afternoon,Coffee,1,3.91,True
361,Wednesday,Afternoon,Merchandise,2,75.06,False
362,Thursday,Afternoon,Coffee,1,4.21,True
363,Wednesday,Evening,Tea,1,4.22,False
364,Thursday,Afternoon,Merchandise,1,23.27,True
365,Sunday,Morning,Coffee,1,4.37,True
366,Wednesday,Morning,Pastry,1,4.73,True
367,Sunday,Afternoon,Sandwich,1,9.05,True
368,Saturday,Morning,Coffee,2,8.32,True
369,Tuesday,Afternoon,Coffee,2,8.74,True
370,Monday,Afternoon,Tea,2,7.46,True
371,Monday,Morning,Coffee,2,10.16,True
372,Monday,Evening,Tea,1,3.55,False
373,Monday,Morning,Pastry,2,9.04,True
374,Thursday,Morning,Coffee,1,3.91,False
375,Monday,Evening,Tea,1,3.72,True
376,Tuesday,Morning,Coffee,2,7.96,True
377,Friday,Morning,Coffee,1,4.01,False
378,Monday,Morning,Pastry,2,9.02,True
379,Friday,Afternoon,Coffee,1,3.93,True
380,Tuesday,Afternoon,Sandwich,1,8.77,False
381,Monday,Afternoon,Pastry,1,4.75,True
382,Thursday,Afternoon,Coffee,1,3.86,True
383,Thursday,Morning,Coffee,2,8.62,False
384,Saturday,Afternoon,Tea,5,17.7,True
385,Friday,Afternoon,Sandwich,1,9.04,True
386,Friday,Morning,Coffee,1,4.78,True
387,Tuesday,Morning,Pastry,1,4.44,True
388,Monday,Evening,Pastry,2,9.74,True
389,Friday,Afternoon,Sandwich,1,8.66,False
390,Friday,Afternoon,Coffee,3,8.97,True
391,Sunday,Afternoon,Coffee,1,3.72,True
392,Wednesday,Morning,Coffee,2,5.86,True
393,Wednesday,Afternoon,Coffee,1,3.88,True
394,Friday,Morning,Pastry,1,5.38,True
395,Tuesday,Morning,Coffee,1,3.55,True
396,Saturday,Afternoon,Tea,2,5.32,False
397,Friday,Morning,Coffee,2,9.5,False
398,Wednesday,Afternoon,Tea,1,3.31,True
399,Friday,Morning,Pastry,1,4.49,True
400,Friday,Morning,Tea,3,11.46,False
401,Monday,Morning,Pastry,3,14.43,False
402,Saturday,Morning,Coffee,1,4.38,True
403,Wednesday,Morning,Pastry,1,5.04,True
404,Friday,Morning,Pastry,1,3.45,True
405,Tuesday,Evening,Tea,2,5.86,True
406,Saturday,Morning,Coffee,1,4.59,True
407,Wednesday,Morning,Pastry,1,4.03,False
408,Monday,Afternoon,Pastry,1,4.1,True
409,Saturday,Afternoon,Sandwich,1,7.98,True
410,Monday,Morning,Coffee,1,3.8,True
411,Tuesday,Afternoon,Coffee,1,3.83,True
412,Sunday,Afternoon,Sandwich,1,8.38,True
413,Sunday,Morning,Tea,2,6.16,False
414,Thursday,Morning,Coffee,3,12.48,True
415,Thursday,Evening,Pastry,1,4.02,False
416,Wednesday,Afternoon,Coffee,1,3.7,True
417,Tuesday,Afternoon,Sandwich,1,6.88,True
418,Tuesday,Morning,Pastry,2,11.32,False
419,Thursday,Morning,Pastry,2,10.14,True
420,Friday,Afternoon,Coffee,2,7.5,False
421,Friday,Morning,Coffee,2,7.1,True
422,Friday,Morning,Pastry,1,4.51,True
423,Monday,Afternoon,Pastry,1,4.49,False
424,Wednesday,Morning,Coffee,1,3.36,False
425,Monday,Afternoon,Sandwich,2,12.88,False
426,Thursday,Afternoon,Pastry,1,4.18,True
427,Wednesday,Morning,Coffee,4,12.88,False
428,Saturday,Afternoon,Coffee,2,8.18,True
429,Tuesday,Morning,Coffee,2,8.18,False
430,Monday,Afternoon,Coffee,1,3.51,True
431,Monday,Morning,Pastry,1,4.18,True
432,Friday,Morning,Coffee,2,9.76,True
433,Thursday,Afternoon,Tea,1,3.81,True
434,Monday,Morning,Pastry,1,4.23,False
435,Monday,Evening,Pastry,3,17.64,True
436,Thursday,Morning,Tea,2,6.04,False
437,Monday,Morning,Coffee,1,3.59,True
438,Friday,Morning,Pastry,2,8.86,True
439,Thursday,Morning,Coffee,1,3.23,True
440,Monday,Morning,Coffee,1,4.9,False
441,Monday,Afternoon,Coffee,1,4.09,False
442,Sunday,Afternoon,Coffee,2,7.22,True
443,Wednesday,Afternoon,Coffee,1,4.22,True
444,Wednesday,Evening,Pastry,1,4.59,True
445,Friday,Morning,Coffee,1,3.85,False
446,Sunday,Afternoon,Sandwich,5,40.25,False
447,Sunday,Morning,Coffee,1,3.28,True
448,Friday,Afternoon,Coffee,1,5.09,True
449,Wednesday,Morning,Coffee,1,3.32,False
450,Monday,Evening,Sandwich,1,11.54,True
451,Friday,Afternoon,Sandwich,1,8.49,False
452,Thursday,Evening,Merchandise,2,89.64,True
453,Wednesday,Afternoon,Sandwich,1,10.06,False
454,Saturday,Evening,Pastry,4,19.6,True
455,Monday,Afternoon,Sandwich,1,10.38,True
456,Wednesday,Morning,Tea,1,2.86,True
457,Monday,Morning,Coffee,1,3.66,True
458,Wednesday,Morning,Coffee,1,3.32,True
459,Monday,Morning,Coffee,3,12.27,True
460,Monday,Morning,Coffee,2,6.68,False
461,Monday,Morning,Coffee,1,3.01,False
462,Thursday,Morning,Coffee,1,3.88,True
463,Friday,Evening,Tea,1,2.62,True
464,Thursday,Evening,Coffee,1,4.13,True
465,Sunday,Morning,Sandwich,2,15.98,False
466,Wednesday,Morning,Coffee,2,7.16,False
467,Tuesday,Morning,Coffee,1,2.86,True
468,Friday,Morning,Pastry,1,5.49,False
469,Tuesday,Afternoon,Tea,1,2.91,True
470,Sunday,Morning,Coffee,3,11.46,True
471,Monday,Afternoon,Tea,1,2.78,True
472,Sunday,Afternoon,Coffee,1,3.58,False
473,Monday,Afternoon,Coffee,1,4.88,True
474,Saturday,Morning,Coffee,1,4.15,True
475,Wednesday,Afternoon,Tea,1,3.21,True
476,Sunday,Morning,Pastry,2,8.96,False
477,Monday,Morning,Coffee,4,14.88,True
478,Thursday,Morning,Tea,1,3.46,True
479,Sunday,Morning,Coffee,1,4.37,False
480,Wednesday,Morning,Coffee,1,3.83,False
481,Thursday,Morning,Pastry,2,9.26,True
482,Thursday,Afternoon,Coffee,1,4.12,True
483,Wednesday,Afternoon,Sandwich,2,18.22,True
484,Thursday,Morning,Coffee,2,7.26,False
485,Thursday,Morning,Pastry,1,4.18,True
486,Saturday,Afternoon,Coffee,1,4.35,False
487,Monday,Morning,Coffee,2,8.78,True
488,Tuesday,Evening,Sandwich,1,8.13,True
489,Sunday,Afternoon,Sandwich,1,9.19,True
490,Saturday,Morning,Coffee,1,3.62,True
491,Wednesday,Morning,Sandwich,1,10.46,True
492,Thursday,Morning,Coffee,2,7.52,True
493,Tuesday,Morning,Coffee,1,5.1,False
494,Tuesday,Morning,Coffee,1,4.11,False
495,Wednesday,Afternoon,Sandwich,2,21.84,True
496,Tuesday,Morning,Sandwich,1,8.28,False
497,Thursday,Morning,Coffee,2,8.02,False
498,Monday,Afternoon,Coffee,1,4.31,True
499,Sunday,Morning,Tea,1,3.09,True
500,Sunday,Morning,Coffee,1,4.01,True
501,Thursday,Morning,Coffee,4,18.12,True
502,Wednesday,Morning,Coffee,2,7.68,True
503,Tuesday,Afternoon,Coffee,1,3.57,True
504,Friday,Morning,Coffee,3,14.7,True
505,Thursday,Afternoon,Tea,2,6.06,True
506,Monday,Morning,Pastry,1,4.59,True
507,Saturday,Morning,Tea,1,3.22,False
508,Friday,Morning,Coffee,1,3.53,True
509,Sunday,Afternoon,Coffee,1,4.37,True
510,Friday,Morning,Coffee,1,3.9,True
511,Thursday,Morning,Coffee,1,4.2,False
512,Wednesday,Afternoon,Sandwich,1,6.79,True
513,Saturday,Morning,Merchandise,1,40.83,True
514,Friday,Morning,Tea,1,3.21,True
515,Monday,Afternoon,Sandwich,1,7.25,True
516,Monday,Morning,Coffee,1,4.94,True
517,Wednesday,Afternoon,Coffee,1,4.3,False
518,Friday,Morning,Pastry,3,13.92,True
519,Sunday,Afternoon,Sandwich,1,11.0,True
520,Monday,Afternoon,Tea,1,3.6,True
521,Thursday,Morning,Coffee,1,3.6,True
522,Wednesday,Afternoon,Sandwich,1,9.29,True
523,Sunday,Afternoon,Coffee,2,7.32,False
524,Friday,Morning,Pastry,1,4.2,True
525,Friday,Morning,Pastry,1,3.75,True
526,Wednesday,Afternoon,Coffee,1,3.51,True
527,Wednesday,Afternoon,Sandwich,1,10.57,True
528,Tuesday,Morning,Sandwich,1,9.9,False
529,Monday,Afternoon,Sandwich,1,8.9,True
530,Friday,Morning,Coffee,1,3.49,False
531,Friday,Afternoon,Coffee,2,7.6,True
532,Sunday,Afternoon,Pastry,1,3.49,True
533,Sunday,Evening,Tea,1,3.55,False
534,Thursday,Morning,Coffee,1,4.47,True
535,Friday,Afternoon,Tea,4,17.8,True
536,Sunday,Morning,Tea,1,3.06,False
537,Friday,Morning,Coffee,1,4.45,True
538,Tuesday,Morning,Coffee,1,3.65,True
539,Wednesday,Afternoon,Coffee,1,3.44,False
540,Monday,Morning,Pastry,1,3.82,True
541,Sunday,Morning,Tea,3,10.68,True
542,Thursday,Afternoon,Coffee,1,3.53,True
543,Tuesday,Afternoon,Sandwich,2,17.54,False
544,Thursday,Afternoon,Coffee,1,3.78,True
545,Thursday,Evening,Pastry,2,8.12,True
546,Tuesday,Morning,Pastry,1,4.01,False
547,Monday,Evening,Sandwich,1,6.59,False
548,Thursday,Afternoon,Coffee,3,12.12,True
549,Wednesday,Morning,Pastry,1,4.54,True
550,Friday,Morning,Pastry,3,12.06,False
551,Wednesday,Morning,Coffee,1,4.18,True
552,Friday,Morning,Coffee,5,23.5,False
553,Thursday,Afternoon,Coffee,1,4.01,True
554,Thursday,Afternoon,Pastry,2,10.6,False
555,Saturday,Afternoon,Tea,1,4.4,True
556,Wednesday,Morning,Pastry,1,6.02,False
557,Monday,Morning,Coffee,2,6.82,True
558,Monday,Afternoon,Sandwich,2,16.16,True
559,Friday,Morning,Coffee,1,3.78,False
560,Thursday,Evening,Coffee,1,4.06,True
561,Thursday,Morning,Coffee,1,4.79,True
562,Tuesday,Evening,Coffee,1,4.31,False
563,Monday,Morning,Coffee,1,3.4,True
564,Monday,Morning,Pastry,2,8.26,False
